superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
2006;Corrientes;7.370,00; -   ;7.370,00; -   ; -   ; -   
2006;Entre Ríos;4.804,90;344,9;2.856,90;870,1;733; -   
2006;Formosa;1.691,00; -   ; -   ;94;1.597,00; -   
2006;Jujuy;5.875,44;31,44;14,7;107,54;5.721,77; -   
2006;La Pampa;137.390,00;34.170,00;200;56.690,00;46.330,00; -   
2006;La Rioja;7.678,00;7.500,00; -   ; -   ;178; -   
2006;Mendoza;60.499,80;4.906,00;395,9;12.302,49;42.895,41; -   
2006;Misiones;2.955,71;23,5;848,55;20,1;2.063,56; -   
2006;Neuquén;7.664,52;600,22;222,81;4.368,60;2.472,81;0,08
2006;Río Negro;141.791,43;14.222,13;186,46;61.491,51;65.891,34; -   
2006;Salta;41.162,50;8.060,00;1.924,50;12.980,50;18.197,50; -   
2006;San Juan;656; -   ; -   ;121,75;534,25; -   
2006;San Luis;20.832,00;8.440,00; -   ; -   ;12.392,00; -   
2006;Santa Cruz;3.125,52;1,5;2,08;1.581,45;1.540,50; -   
2006;Santa Fe;3.047,00;100;607;75;2.265,00; -   
2006;Santiago del Estero;15.000,00;12.300,00; -   ; -   ;2.700,00; -   
2006;Tierra del Fuego;0,76;0,4;0; -   ; -   ;0,36
2006;Tucumán;2.146,80; -   ;98;139,3;1.909,50; -   
2007;Buenos Aires;19.106,48;1.392,15;1.553,07;267,95;15.893,31; -   
2007;Catamarca;24.754,60; -   ;59;4.745,70;19.949,90; -   
2007;Chaco;26.213,10;3.559,00; -   ;373;22.281,10; -   
2007;Chubut;756,42;47,1;213,59;290,83;204,9; -   
2007;Ciudad Autónoma de Buenos Aires;8,02; -   ;0; -   ;8,02; -   
2007;Córdoba;11.369,00;4.371,00; -   ;472;6.526,00; -   
2007;Corrientes;569;25;0;29;515; -   
2007;Entre Ríos;549,32;79,5;150;96,82;223; -   
2007;Formosa;3.056,00;16;4;31;3.005,00; -   
2007;Jujuy;1.498,24;39,49;545,65;284,3;628,8; -   
2007;La Pampa;22.255,00;7.156,00;500;10.888,00;3.711,00; -   
2007;La Rioja;200;19;8;67;106; -   
2007;Mendoza;16.167,00;1.671,60;12;5.169,30;9.314,10; -   
2007;Misiones;295,5; -   ;37;20;238,5; -   
2007;Neuquén;1.153,77;29,45;23,01;546,46;554,86; -   
2007;Río Negro;43.544,83;24,53;10,68;18.434,12;25.075,49; -   
2007;Salta;36.809,00;6.993,00;1.206,00;11.717,00;16.893,00; -   
2007;San Juan;1.346,00; -   ; -   ;160,75;1.185,25; -   
2007;San Luis;25.660,00;4.884,00; -   ;8.571,00;12.205,00; -   
2007;Santa Cruz;9.023,83;2,1;1,5;1.816,45;7.203,78; -   
2007;Santa Fe;2.794,00;98;95;519;2.082,00; -   
2007;Santiago del Estero;4.545,00; -   ; -   ;950;3.595,00; -   
2007;Tierra del Fuego;15,53;1,85; -   ;3,84;8,97;0,87
2007;Tucumán;861,6;39,5;2,5;160,3;659,3; -   
2008;Buenos Aires;68.824,37;2.083,26;10.462,31;2.204,19;54.074,61; -   
2008;Catamarca;12.544,60;2.840,00;274,4;5.135,40;4.294,80; -   
2008;Chaco;2.873,00;718; -   ;246;1.909,00; -   
2008;Chubut;9.286,78;3.459,09;779,86;1.536,10;3.511,73; -   
2008;Ciudad Autónoma de Buenos Aires;2,34;0,3; -   ;0;2,03; -   
2008;Córdoba;61.541,65;15.603,00;2;18.228,00;27.708,65; -   
2008;Corrientes;8.053,00;2.880,00;3.161,00; -   ;2.012,00; -   
2008;Entre Ríos;77.893,10;2.037,10;1.314,60;27.341,70;47.199,70; -   
2008;Formosa;4.165,00;30; -   ;131;4.004,00; -   
2008;Jujuy;2.646,57;190,93;391,81;1.399,57;664,26; -   
2008;La Pampa;97.486,00;41.315,00; -   ;22.166,00;34.005,00; -   
2008;La Rioja;1.016,60;70,1; -   ;324,9;621,6; -   
2008;Mendoza;88.526,50;826,5;1,3;10.016,30;77.682,40; -   
2008;Misiones;1.473,45;83,1;385,15;238,05;767,15; -   
2008;Neuquén;872,37;135,65;33,11;217,12;486,49; -   
2008;Río Negro;20.348,51;7,9;20,28;5.668,79;14.651,55; -   
2008;Salta;27.391,00;4.428,00;1.294,00;8.554,00;13.115,00; -   
2008;San Juan;1.122,75;120;15;148;839,75; -   
2008;San Luis;24.150,00;3.070,00;2.000,00; -   ;19.080,00; -   
2008;Santa Cruz;55.298,90;3,25; -   ;33.455,84;21.839,81; -   
2008;Santa Fe;5.001,00;234;179;284;4.304,00; -   
2008;Santiago del Estero;24.633,00; -   ; -   ;3.773,00;20.860,00; -   
2008;Tierra del Fuego;7.395,38;4.846,28; -   ;0,09;60,51;2.488,50
2008;Tucumán;244,6;19,5; -   ;40,5;184,6; -   
2009;Buenos Aires;34.077,89;10.031,72;1.939,92;285,51;21.820,73; -   
2009;Catamarca;54.253,40;7.604,95;5.429,25;6.611,45;34.607,75; -   
2009;Chaco;3.442,00;875; -   ;241;2.326,00; -   
2009;Chubut;367,83;106,82;28,03;138,41;94,57; -   
2009;Ciudad Autónoma de Buenos Aires;65,47;5; -   ;5;55,06;0,41
2009;Córdoba;70.247,00;21.884,00;120;10.500,00;37.743,00; -   
2009;Corrientes;15.560,00;545;5.037,00;3;9.975,00; -   
2009;Entre Ríos;804; -   ;252; -   ;552; -   
2009;Formosa;1.378,31; -   ; -   ;152;1.226,31; -   
2009;Jujuy;1.668,01;334,36;274,96;388,34;670,35; -   
2009;La Pampa;24.926,00;12.386,00;40;2.500,00;10.000,00; -   
2009;La Rioja;3.980,00;100; -   ;1.010,00;2.870,00; -   
2009;Mendoza;25.295,75;243,5;2;5.485,15;19.565,10; -   
2009;Misiones;1.477,60;248;507,5;83,55;638,55; -   
2009;Neuquén;209,47;29,55;4,93;28,95;146,05; -   
2009;Río Negro;14.753,95;1.321,61;808,28;3.850,23;8.773,83; -   
2009;Salta;35.051,00;4.555,00;1.116,00;11.081,00;18.299,00; -   
2009;San Juan;1.164,50; -   ; -   ;125,5;1.039,00; -   
2009;San Luis;486.563,00;37.445,00; -   ;324.669,00;124.449,00; -   
2009;Santa Cruz;9.848,20;0; -   ;5.095,55;4.752,65; -   
2009;Santa Fe;3.887,00;22;293;62;3.510,00; -   
2009;Santiago del Estero;39.540,00;8.090,00; -   ;4.800,00;26.650,00; -   
2009;Tierra del Fuego;35,39;34,36; -   ;0,53;0,5; -   
2009;Tucumán;4.993,25;804;90;882;3.217,25; -   
2010;Buenos Aires;8.670,64;1.450,50;551;513,5;6.155,64; -   
2010;Catamarca;15.830,60;564,18; -   ;1.683,27;13.583,15; -   
2010;Chaco;3.917,03;972,5;507;209;2.228,53; -   
2010;Chubut;1.261,95;175,61;26,36;528,74;531,25; -   
2010;Ciudad Autónoma de Buenos Aires;0,48; -   ; -   ; -   ;0,48; -   
2010;Córdoba;10.305,00;2.233,00;790; -   ;7.282,00; -   
2010;Corrientes;820,42; -   ;38,42;4;717,9;60,1
2010;Entre Ríos;1.692,20;801,5;310,5;35;545,2; -   
2010;Jujuy;27.144,97;24.461,00;235,18;549,11;1.899,68; -   
2010;La Pampa;18.391,00;1.360,00;190;874;15.967,00; -   
2010;La Rioja;29.271,00; -   ;130;5.467,00;23.674,00; -   
2010;Mendoza;54.196,05;3.712,00;156,9;5.528,45;44.798,70; -   
2010;Misiones;546;3;80,5;74,5;388; -   
2010;Neuquén;595,24;5,11;18,77;91,67;479,69; -   
2010;Río Negro;645,2;8,28;6,16;181,75;449,02; -   
2010;Salta;3.945,00;379;161;462,5;2.942,50; -   
2010;San Juan;1.087,25; -   ; -   ;151,75;935,5; -   
2010;San Luis;32.325,00;9.780,00; -   ;9.143,00;13.402,00; -   
2010;Santa Cruz;40,75;3,5; -   ;7,75;29,5; -   
2010;Santa Fe;2.767,00;18;201;236;2.312,00; -   
2010;Santiago del Estero;5.395,00;1.050,00; -   ; -   ;4.345,00; -   
2010;Tierra del Fuego;5,96;2,55; -   ;2,81;0,6; -   
2011;Buenos Aires;3.354,03;229,05;656,78;90,3;2.377,90; -   
2011;Catamarca;12.723,35;4.165,00; -   ;4.346,61;4.211,75; -   
2011;Chaco;8.848,06;2.526,00;503;245;5.574,06; -   
2011;Chubut;4.169,14;1.236,29;226,14;1.272,69;1.434,02; -   
2011;Ciudad Autónoma de Buenos Aires;7,77;1,43; -   ;1;5,34; -   
2011;Córdoba;71.293,00;24.569,00; -   ;5.778,00;40.946,00; -   
2011;Corrientes;5.876,20; -   ;1.359,30;20;4.304,50;192,4
2011;Entre Ríos;2.025,00;34; -   ;21;1.970,00; -   
2011;Formosa;2.414,90;338,4; -   ;317;1.759,50; -   
2011;Jujuy;1.342,43;327,26;82,74;143,41;789,03; -   
2011;La Pampa;78.022,00;7.300,00;150;3.000,00;67.572,00; -   
2011;La Rioja;1.390,00; -   ; -   ;70;1.320,00; -   
2011;Mendoza;10.907,65;427,3;1;2.303,25;8.176,10; -   
2011;Misiones;502;14,5;149,5;33,5;304,5; -   
2011;Neuquén;10.682,69;671,12;283,85;5.045,30;4.682,43; -   
2011;Río Negro;15.354,72;4,78;11,03;6.232,91;9.106,00; -   
2011;Salta;1.909,40;166,75;117,75;170,65;1.454,25; -   
2011;San Juan;20.136,00;20;280;301,5;19.534,50; -   
2011;San Luis;18.600,00;4.218,00; -   ;5.842,00;8.540,00; -   
2011;Santa Cruz;62,64;1,61; -   ;22,03;39; -   
2011;Santa Fe;2.490,29;61,7;196,82;138;2.093,77; -   
2011;Santiago del Estero;10.953,62;7.388,29; -   ; -   ;3.565,33; -   
2011;Tierra del Fuego;96,62;79,77; -   ;10,51;6,34; -   
2012;Buenos Aires;98,13;0,3;10,27;4;83,56; -   
2012;Catamarca;4.651,49;3,6;5,45;590,53;4.051,92; -   
2012;Chaco;7.770,90;4.317,00;138;60;3.255,90; -   
2012;Chubut;4.698,38;3.305,65;261,25;412,32;719,16; -   
2012;Ciudad Autónoma de Buenos Aires;0,48;0; -   ;0;0,47; -   
2012;Córdoba;11.130,00;4.036,00; -   ;295;6.799,00; -   
2012;Corrientes;3.556,82; -   ;769,5; -   ;2.787,32; -   
2012;Entre Ríos;2.422,80;1.590,80;481,5;19;331,5; -   
2012;Formosa;5.959,20; -   ; -   ;320;5.639,20; -   
2012;Jujuy;8.674,78;1.503,47;750,16;1.004,03;5.417,13; -   
2012;La Pampa;30.202,00;14.644,00; -   ;500;15.058,00; -   
2012;La Rioja;391;6;26;7;352; -   
2012;Mendoza;7.006,25;259,6;9;1.152,75;5.584,90; -   
2012;Misiones;2.143,00;220;445;274,5;1.203,50; -   
2012;Neuquén;16.057,55;396,98;630,6;6.596,96;8.433,02; -   
2012;Río Negro;3.093,47;375,55;6,37;973,95;1.737,60; -   
2012;Salta;1.797,57;114,85;67,71;319,07;1.295,94; -   
2012;San Juan;635,5;3;19,5;48;565; -   
2012;San Luis;50.201,00;5.841,00; -   ;9.868,00;34.492,00; -   
2012;Santa Cruz;20.499,02;1.000,00;11.000,00;8.419,50;79,52; -   
2012;Santa Fe;2.530,50;5;115;164;2.246,50; -   
2012;Santiago del Estero;8.970,00;5.510,00; -   ; -   ;3.460,00; -   
2012;Tierra del Fuego;2.575,85;2.575,18; -   ;0,07;0,6; -   
2012;Tucumán;1.992,00;58; -   ;458;1.476,00; -   
2013;Buenos Aires;1.967,87;37,9;11,52;15,3;1.903,15; -   
2013;Catamarca;6.507,39;158,85; -   ;2.087,99;4.260,55; -   
2013;Chaco;8.852,02;710;868;2;7.272,02; -   
2013;Chubut;106,92;68,64;0,67;30,34;7,26; -   
2013;Ciudad Autónoma de Buenos Aires;32,33; -   ; -   ;0;32,33; -   
2013;Córdoba;105.179,00;25.620,00;7.000,00;3.550,00;69.009,00; -   
2013;Corrientes;1.103,21;154;756,5;26,5;166,21; -   
2013;Entre Ríos;11.840,00;1.185,00;324;41;10.290,00; -   
2013;Formosa;11.292,77;764; -   ;7.318,00;3.210,77; -   
2013;Jujuy;32.041,78;18.307,62;1.833,37;6.529,69;5.371,11; -   
2013;La Pampa;83.360,00;44.756,00;700;9.437,00;28.467,00; -   
2013;La Rioja;506; -   ;50;16;440; -   
2013;Mendoza;77.017,95;1.776,30;4.518,50;21.238,75;49.484,40; -   
2013;Misiones;870;8;47,5;137;677,5; -   
2013;Neuquén;2.449,30;1.432,31;15,65;441,22;560,12; -   
2013;Río Negro;1.732,12;60,97;10,02;205,99;1.455,15; -   
2013;Salta;18.146,14; -   ;0,67;1.198,00;16.947,47; -   
2013;San Juan;451,5;80;0,5;63,5;307,5; -   
2013;San Luis;54.693,00;1.617,00; -   ;24.425,00;28.651,00; -   
2013;Santa Cruz;1.504,15;1; -   ;456,5;1.046,65; -   
2013;Santa Fe;2.478,00;132;86;86;2.174,00; -   
2013;Santiago del Estero;6.062,00;3.270,00; -   ; -   ;2.792,00; -   
2013;Tierra del Fuego;10,03;2,76; -   ;0,85;6,43; -   
2013;Tucumán;6.429,00;104; -   ; -   ;6.325,00; -   
2014;Buenos Aires;66.103,55;4.881,79;533,21;1.499,60;59.188,95; -   
2014;Catamarca;10.366,62;3,4;8;1.097,33;9.257,89; -   
2014;Chaco;5.244,80;72;78,5;133;4.961,30; -   
2014;Chubut;147,73;1,03;1,99;32,94;111,77; -   
2014;Ciudad Autónoma de Buenos Aires;0,2; -   ; -   ;0,01;0,19; -   
2014;Córdoba;4.196,00; -   ; -   ;200;3.996,00; -   
2014;Corrientes;1.639,99;54,23;1.018,00;25;542,76; -   
2014;Entre Ríos;1.536,00;517;83;5;931; -   
2014;Formosa;7.820,89;10,79; -   ;207,46;7.602,65; -   
2014;Jujuy;1.447,73;20,58;24,53;143,24;1.259,39; -   
2014;La Pampa;490.635,40;143.008,80;16,8;216.073,17;131.536,63; -   
2014;La Rioja;1.814,00; -   ;72;6;1.736,00; -   
2014;Mendoza;66.156,00;2.809,50; -   ;11.003,00;52.343,50; -   
2014;Misiones;959;32;94;211;622; -   
2014;Neuquén;626,67;31,11;24,31;279,61;291,64; -   
2014;Río Negro;49.373,68;4,34;4,3;14.697,10;34.667,94; -   
2014;Salta;1.614,99;12; -   ;71,46;1.531,53; -   
2014;San Juan;566; -   ; -   ;15,5;550,5; -   
2014;San Luis;52.493,00;2.530,00; -   ;448;49.515,00; -   
2014;Santa Cruz;277,02;184,92; -   ;46,04;46,06; -   
2014;Santa Fe;739; -   ;90;1;648; -   
2014;Santiago del Estero;1.471,00;27;47;290;1.107,00; -   
2014;Tierra del Fuego;8,98;0,54; -   ;0,57;7,88; -   
2014;Tucumán;120; -   ; -   ;40;80; -   
2015;Buenos Aires;5.730,04;172,5;791,65;98,65;4.667,24; -   
2015;Catamarca;10.851,78;8,44;54,78;2.524,40;8.264,16; -   
2015;Chaco;4.219,50;25;110;41;4.043,50; -   
2015;Chubut;40.346,98;26.986,85;195,23;6.600,60;6.564,31; -   
2015;Ciudad Autónoma de Buenos Aires;6; -   ; -   ;0;6; -   
2015;Córdoba;1.280,00;720;50; -   ;510; -   
2015;Corrientes;12.227,00; -   ; -   ; -   ;12.227,00; -   
2015;Entre Ríos;1.530,00;503;24;46;957; -   
2015;Formosa;794,44;5,99;20,65;231,8;536; -   
2015;Jujuy;1.908,35;48,78;44,55;349,67;1.465,36; -   
2015;La Pampa;213.804,00;92.782,00;5;85.109,75;35.039,25;868
2015;La Rioja;511; -   ;58;26;427; -   
2015;Mendoza;19.788,35;1.025,60;86;5.203,35;13.473,40; -   
2015;Misiones;378; -   ;43;84;251; -   
2015;Neuquén;20.564,49;1,03;2,54;10.239,24;10.321,69; -   
2015;Río Negro;105.108,23;47,22;32,24;37.567,90;67.460,88; -   
2015;Salta;1.094,45;34,47;2,61;218,56;838,81; -   
2015;San Juan;591,25; -   ;5;52;534,25; -   
2015;San Luis;33.198,00;3.555,00;1.835,00;9.941,00;17.867,00; -   
2015;Santa Cruz;158,5;0,5;1,5;64;92,5; -   
2015;Santa Fe;1.177,00;127;38;73;939; -   
2015;Santiago del Estero;1.975,00;591;5;834;545; -   
2015;Tierra del Fuego;5,36;2,21; -   ;0,84;2,31; -   
2015;Tucumán;115,3; -   ; -   ;25,5;89,8; -   
2016;Buenos Aires;59.295,89;2.058,60;404,26;355,5;56.477,53; -   
2016;Catamarca;27.495,69;1.396,37;171,57;3.872,78;22.054,97; -   
2016;Chaco;9.129,20;15;25;8;9.081,20; -   
2016;Chubut;9.552,33;6.327,30;41,93;2.516,80;666,29; -   
2016;Ciudad Autónoma de Buenos Aires;12.629,00; -   ; -   ; -   ;12.629,00; -   
2016;Córdoba;3.540,70;316,7; -   ;873,1;2.350,90; -   
2016;Corrientes;9.980,00;1.400,00; -   ; -   ;8.580,00; -   
2016;Entre Ríos;3.030,00;1.126,00;19;150;1.735,00; -   
2016;Formosa;614,9; -   ; -   ;133,07;481,83; -   
2016;Jujuy;2.010,16;470,88;53,35;749,96;735,97; -   
2016;La Pampa;615.182,00;157.249,90;18,5;243.851,10;214.062,50; -   
2016;La Rioja;334; -   ; -   ;9;325; -   
2016;Mendoza;93.529,30;4.498,50;884,5;13.664,90;74.481,40; -   
2016;Misiones;2.665,00;30;14;152;2.469,00; -   
2016;Neuquén;38.356,06;37,91;10,63;892,95;37.414,57; -   
2016;Río Negro;60.175,91;67,07;11,51;12.350,41;47.746,92; -   
2016;Salta;4.665,82;310,56;529,5;525,4;3.300,36; -   
2016;San Juan;2.099,50; -   ;160;1,25;1.938,25; -   
2016;San Luis;97.861,00;123; -   ;18.344,00;79.394,00; -   
2016;Santa Cruz;1.035,63;31,4; -   ;473,6;530,63; -   
2016;Santa Fe;1.107,00;102;87;98;820; -   
2016;Santiago del Estero;1.675,00;34; -   ;782;859; -   
2016;Tierra del Fuego;10,02;5,1; -   ;0,7;4,23; -   
2016;Tucumán;90; -   ; -   ; -   ;90; -   
2017;Buenos Aires;7.696,47;231,37;358,62;55;7.051,48; -   
2017;Catamarca;45.170,12;0,83;390,6;813,97;43.964,73; -   
2017;Chaco;4.923,99;1.243,00;167;323,43;3.190,56; -   
2017;Chubut;521,44;186,66;17,39;186,48;130,9; -   
2017;Ciudad Autónoma de Bs As;0; -   ; -   ; -   ;0; -   
2017;Córdoba;45.343,40;11.922,20;410;3.922,00;29.089,20; -   
2017;Corrientes;2.388,39;256,03;1.249,58; -   ;882,78; -   
2017;Entre Ríos;372;47;3;102;220; -   
2017;Formosa;1.342,63; -   ;0,65;31,45;1.310,53; -   
2017;Jujuy;2.105,63;584,01;71,31;707,08;743,23; -   
2017;La Pampa;964.407,50;455.174,80; -   ;322.306,50;186.926,20; -   
2017;La Rioja;734; -   ; -   ; -   ;734; -   
2017;Mendoza;418.798,80;78.524,00;244,6;146.563,30;193.466,90; -   
2017;Misiones;1.775,00; -   ;61;4;1.710,00; -   
2017;Neuquén;6.787,27;228;89,15;1.610,83;4.859,29; -   
2017;Río Negro;61.076,46;5,54;3,24;11.970,73;49.096,95; -   
2017;Salta;4.477,39;101,8;8,7;1.961,43;2.405,46; -   
2017;San Juan;12.021,50; -   ; -   ;115;11.906,50; -   
2017;San Luis;39; -   ; -   ; -   ;39; -   
2017;Santa Cruz;303,2; -   ; -   ;5,2;298; -   
2017;Santa Fe;1.303,00;75;123;101;1.004,00; -   
2017;Santiago del Estero;1.784,00;10;31;752;991; -   
2017;Tierra del Fuego;5,21;1,57;2,13;0,74;0,78; -   
2017;Tucumán;178,25;21,46; -   ;92,24;64,55; -   
2018;Buenos Aires;86.851,72;2.419,19;508,24;40.953,38;42.970,92; -   
2018;Catamarca;6.992,88;70,62;94,28;1.705,90;5.122,08; -   
2018;Chaco;3.067,45;78,9;1.046,60;230,4;1.711,55; -   
2018;Chubut;100,44;2,2;12,05;11,72;74,47; -   
2018;Ciudad Autónoma de Buenos Aires;0,04; -   ; -   ; -   ;0,04; -   
2018;Córdoba;20.826,31;2.549,00;300;3.934,50;14.042,81; -   
2018;Corrientes;434,01;48,5;74,5;5;306,01; -   
2018;Entre Ríos;4.899,00;3.369,00;1.245,00; -   ;285; -   
2018;Formosa;550,65; -   ; -   ;168,12;382,53; -   
2018;Jujuy;841,76;134,45;41,42;101,96;563,94; -   
2018;La Pampa;723.261,90;228.359,65;21.487,40;313.725,95;159.688,90; -   
2018;La Rioja;303; -   ; -   ;1;302; -   
2018;Mendoza;126.315,50;8.672,20;71,45;34.988,33;82.583,53; -   
2018;Misiones;765,5; -   ;7,5;22;736; -   
2018;Neuquén;2.825,54;1.046,40;13,63;564,74;1.200,77; -   
2018;Parques Nacionales;33.281,30;72,07;30;15.094,69;18.084,54; -   
2018;Río Negro;4.688,10;68,98;16,15;2.267,19;2.335,78; -   
2018;Salta;1.306,01; -   ;0,1;222,73;1.083,18; -   
2018;San Juan;565,5;10,5;4,5; -   ;550,5; -   
2018;San Luis;39; -   ; -   ; -   ;39; -   
2018;Santa Fe;1.686,00;116;55;64;1.451,00; -   
2018;Tierra del Fuego;2,75;0,04; -   ;0,23;2,49; -   
2018;Tucumán;1.801,86;0,4; -   ;59,7;1.741,76; -   
2019;Catamarca;398,95;50;1,55;101,59;245,81; -   
2019;Chubut;4.253,62;10,3;4.073,21;163,42;6,69; -   
2019;Ciudad Autónoma de Buenos Aires;0,02; -   ; -   ; -   ;0,02; -   
2019;Córdoba;4.297,76;671; -   ;3,5;3.623,26; -   
2019;Corrientes;13,69; -   ;2,2; -   ;11,49; -   
2019;Entre Ríos;246; -   ;42;1;203; -   
2019;Formosa;1.577,33; -   ; -   ;246,94;1.330,39; -   
2019;Jujuy;190,29;31,36;0,13;1,54;157,27; -   
2019;La Pampa;115.692,00;48.997,55; -   ;53.220,35;13.474,10; -   
2019;La Rioja;34; -   ; -   ; -   ;34; -   
2019;Mendoza;33.296,10;2.057,20; -   ;10.037,20;21.201,70; -   
2019;Misiones;53; -   ;3; -   ;50; -   
2019;Parques Nacionales;2.378,18;64,5; -   ;22;2.291,68; -   
2019;Río Negro;278,13;66,12;7,16;63,68;141,17; -   
2019;Santa Fé;540;23;8;32;477; -   
2019;Tierra del Fuego;2,16;0,03; -   ;0,05;2,08; -   
